NAME,RATING,REVIEW COUNT,PRICE,DISCOUNTED PRICE,PRODUCT ID
Madison Park Cassandra 8-Piece Comforter Set,4.5,35,$179.99 - $205.99,$179.99 - $205.99,5357162
Madison Park Dallas Comforter Set,4.8,20,$137.99 - $160.99,$137.99 - $160.99,5199029
CGK Unlimited Goose Down Alternative Comforter  - California King - White,4.9,123,$54.99 - $79.99,$49.99 - $74.99,7030841
Madison Park Beacon Comforter Set,4.5,31,$150.99 - $169.99,$135.99 - $169.99,5612657
INK+IVY Mila 3-Piece Reversible Comforter Set,4.2,94,$140.99 - $170.99,$140.99 - $170.99,5444670
Madison Park Violette Tufted 3-Piece Reversible Comforter Set,4.5,21,$156.99 - $178.99,$156.99 - $178.99,5512286
Madison Park Medina 8-Piece Comforter Set,3.6,33,$139.99 - $163.99,$111.99 - $163.99,3278869
Madison Park Essentials Brystol 24-Piece Comforter Set,4.7,33,$204.99 - $227.99,$204.99 - $227.99,5760285
Intelligent Design Malea Shaggy Reversible Comforter Set,4.5,142,$81.99 - $121.99,$81.99 - $121.99,5394476
INK+IVY Rhea 3-Piece Comforter Set,4.4,56,$115.99 - $147.99,$115.99 - $147.99,5257551
"NY&C Home Kinsley 9 Piece Comforter Set Color Block Design Distressed Stripe Print Bed In A Bag Bedding - Sheets Pillowcases Decorative Pillows Shams Included, Queen, Grey",5.0,1,$132.73 - $168.47,$132.73 - $168.47,7055996
Intelligent Design Raina 5-Piece Comforter Set,4.0,203,$78.99 - $100.99,$78.99 - $100.99,3333384
Madison Park Bellagio Jacquard Comforter Set,3.9,55,$139.99 - $166.99,$111.99 - $166.99,3333779
The Nesting Company Chestnut Reversible 7 Piece Bed In A Bag Comforter Set - King - Khaki/Brown,0.0,0,$119.99 - $129.99,$49.99 - $59.99,7012310
Madison Park Laetitia 3-Piece Comforter Set,4.4,62,$160.99 - $183.99,$143.99 - $183.99,5244319
Madison Park Walter Seersucker 7-Piece Comforter Set,4.4,69,$116.99 - $139.99,$116.99 - $139.99,5393852
